target area: x=20..30, y=-10..-5
trajectory: d=6..9, highest=45
trajectory: d=7..9, highest=45
trajectory: d=6..8, highest=36
trajectory: d=7..8, highest=36
trajectory: d=6..7, highest=28
trajectory: d=7..7, highest=28
trajectory: d=6..6, highest=21
trajectory: d=7..6, highest=21
trajectory: d=6..5, highest=15
trajectory: d=7..5, highest=15
trajectory: d=6..4, highest=10
trajectory: d=7..4, highest=10
trajectory: d=6..3, highest=6
trajectory: d=7..3, highest=6
trajectory: d=6..2, highest=3
trajectory: d=7..2, highest=3
trajectory: d=6..1, highest=1
trajectory: d=7..1, highest=1
trajectory: d=8..1, highest=1
trajectory: d=6..0, highest=0
trajectory: d=7..-1, highest=0
trajectory: d=7..0, highest=0
trajectory: d=8..-2, highest=0
trajectory: d=8..-1, highest=0
trajectory: d=8..0, highest=0
trajectory: d=9..-2, highest=0
trajectory: d=9..-1, highest=0
trajectory: d=9..0, highest=0
trajectory: d=10..-2, highest=0
trajectory: d=10..-1, highest=0
trajectory: d=11..-4, highest=0
trajectory: d=11..-3, highest=0
trajectory: d=11..-2, highest=0
trajectory: d=11..-1, highest=0
trajectory: d=12..-4, highest=0
trajectory: d=12..-3, highest=0
trajectory: d=12..-2, highest=0
trajectory: d=13..-4, highest=0
trajectory: d=13..-3, highest=0
trajectory: d=13..-2, highest=0
trajectory: d=14..-4, highest=0
trajectory: d=14..-3, highest=0
trajectory: d=14..-2, highest=0
trajectory: d=15..-4, highest=0
trajectory: d=15..-3, highest=0
trajectory: d=15..-2, highest=0
trajectory: d=20..-10, highest=0
trajectory: d=20..-9, highest=0
trajectory: d=20..-8, highest=0
trajectory: d=20..-7, highest=0
trajectory: d=20..-6, highest=0
trajectory: d=20..-5, highest=0
trajectory: d=21..-10, highest=0
trajectory: d=21..-9, highest=0
trajectory: d=21..-8, highest=0
trajectory: d=21..-7, highest=0
trajectory: d=21..-6, highest=0
trajectory: d=21..-5, highest=0
trajectory: d=22..-10, highest=0
trajectory: d=22..-9, highest=0
trajectory: d=22..-8, highest=0
trajectory: d=22..-7, highest=0
trajectory: d=22..-6, highest=0
trajectory: d=22..-5, highest=0
trajectory: d=23..-10, highest=0
trajectory: d=23..-9, highest=0
trajectory: d=23..-8, highest=0
trajectory: d=23..-7, highest=0
trajectory: d=23..-6, highest=0
trajectory: d=23..-5, highest=0
trajectory: d=24..-10, highest=0
trajectory: d=24..-9, highest=0
trajectory: d=24..-8, highest=0
trajectory: d=24..-7, highest=0
trajectory: d=24..-6, highest=0
trajectory: d=24..-5, highest=0
trajectory: d=25..-10, highest=0
trajectory: d=25..-9, highest=0
trajectory: d=25..-8, highest=0
trajectory: d=25..-7, highest=0
trajectory: d=25..-6, highest=0
trajectory: d=25..-5, highest=0
trajectory: d=26..-10, highest=0
trajectory: d=26..-9, highest=0
trajectory: d=26..-8, highest=0
trajectory: d=26..-7, highest=0
trajectory: d=26..-6, highest=0
trajectory: d=26..-5, highest=0
trajectory: d=27..-10, highest=0
trajectory: d=27..-9, highest=0
trajectory: d=27..-8, highest=0
trajectory: d=27..-7, highest=0
trajectory: d=27..-6, highest=0
trajectory: d=27..-5, highest=0
trajectory: d=28..-10, highest=0
trajectory: d=28..-9, highest=0
trajectory: d=28..-8, highest=0
trajectory: d=28..-7, highest=0
trajectory: d=28..-6, highest=0
trajectory: d=28..-5, highest=0
trajectory: d=29..-10, highest=0
trajectory: d=29..-9, highest=0
trajectory: d=29..-8, highest=0
trajectory: d=29..-7, highest=0
trajectory: d=29..-6, highest=0
trajectory: d=29..-5, highest=0
trajectory: d=30..-10, highest=0
trajectory: d=30..-9, highest=0
trajectory: d=30..-8, highest=0
trajectory: d=30..-7, highest=0
trajectory: d=30..-6, highest=0
trajectory: d=30..-5, highest=0
